Beteiligte,Objektbezeichnung,InvNr,Foto neu vorhanden?,Bild Nr neu,Bild bearbeitet?,Jahr_von,Jahr_bis,Datierung,Geogr_Bezug,Gattung,Maße,Material,Beschriftung,Verw_Institution,Sammlungsbereich,Akt_Standort,,Titel_Sammlung,Beschreibung_Notizen,unsere Notizen,OSM (Koordinaten),URL 1,URL 2,Foto von 
Carl Friedrich Mylius,"Stadtansicht, Stadttopographie",C15491,,,,1861,1870,1862,Frankfurt am Main-Altstadt,Fotografie,"Bildmaß: 21,6 x 28,5 cm die linke Fotografie, Breite variiert um ca. 0,3 mm (unten breiter); Bildmaß: 21,6 x 29,1 cm die rechte Fotografie, Breite variiert um ca. 0,3 mm (oben breiter); Bildmaß: 21,6 x 57,4 cm die zusammengesetzte Fotografie; Blattmaß: 22",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Blick auf die Alte Brücke von Südosten, im Hintergrund der Dom, zweiteilige zusammengesetzte Fotografie",,Blick auf Alte Brücke; andere Mainseite,"50.1073,8.6893",,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C17720,ja,,,1861,1870,1864,"Frankfurt am Main-Altstadt, Römerberg (Haus zum Römer, Haus Limpurg)",Architekturfotografie,"Bildmaß: 26,8 x 19,1 cm; Blattmaß: 39,7 x 31,6 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton",auf Karton aufgezogen; Papier; Passepartout-Karton; Albuminabzug,"recto, unten mitte, auf Original-Unterkarton: ""Haus Limpurg. Sitz der Ganerben."" (braune Tinte)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,"Das Cronstetten'sche Stift, Haus zum Römer und Haus Limpurg, Sitz der Ganerben","Links das Haus Limpurg, rechts Römer, Teil des Römerberges mit abgedecktem Justicia-Brunnen, Pferde mit Kutschen, Handwagen._x000D_
_x000D_
Links Hinweis auf ein ""Waaren Lager""",,"50.11018,8.68175",https://de.wikipedia.org/wiki/Haus_zum_R%C3%B6mer,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C17725,,,,1861,1870,1864,"Frankfurt am Main-Innenstadt, Rossmarkt (Cronstetten'sches Stift)",Architekturfotografie,"Bildmaß: 23 x 17,6 cm; Blattmaß: 39,2 x 31,7 cm; Objektmaß: 53 x 36,5 cm",Papier; auf Karton aufgezogen; Albuminabzug; Tusche (einzelne Blätter im Wipfel der Birke),"recto, unten mitte, auf Original-Unterkarton: ""Nach Osten. Birke, welcher Bettina [sic] gedachte."" (braune Tinte)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Das Cronstetten'sche Stift nach Osten, mit der Birke, welcher Bettine von Arnim gedachte","Blick in den Garten des Stiftes, im Hintergrund schiefergedeckte Gebäude, Weinlaub, offenes, weißes Gartentor, Mann mit Gießkanne",,,,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C17732,,,,1861,1870,1864,"Frankfurt am Main-Innenstadt, Rossmarkt (Cronstetten'sches Stift)",Architekturfotografie,"Bildmaß: 26,1 x 19,1 cm; Blattmaß: 39,7 x 31,6 cm; Objektmaß: 53 x 36,5 cm",Papier; auf Karton aufgezogen; Albuminabzug,"recto, unten mitte, auf Original-Unterkarton: ""Eingang zum Stiftsgebäude."" (braune Tinte)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Das Cronstetten'sche Stift, Eingang zum Stiftsgebäude mit Frau Bauer von Eisenek, Fräulein von Günderode, Frau Pröbstin von Lersner, Herrn und Fräulein von Lersner","Die Einrichtung der Cronstett-Hynspergischen evangelischen Stiftung befand sich an der Südseite des Roßmarkts, ihr Zweck war die Versorgung unverheirateter Töchter und Witwen aus Patrizierfamilien. Als das Gebäude 1865/66 dem Durchbruch der Kaiserstraße weichen mußte, erhielt Mylius von der Administration der Stiftung den Auftrag, die gesamte Anlage photographisch zu dokumentieren. Mylius veröffentlichte 15 seiner Aufnahmen in einer Mappe mit dem Titel ""Erinnerung an das Cronstettische Stift vor dem Umbau""._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 115)",Südseite Roßmarkt ,"50.11189,8.67624",,,
"Carl Friedrich Mylius, Originalfotografie 1861; Rapp (Gustav & Co), Neuabzug","Stadtansicht, Stadttopographie","C18979,2",,,,1901,1910,1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin),Frankfurt am Main-Sachsenhausen,Fotografie,"Bildmaß: 16,4 x 25 cm; Objektmaß: 72,9 x 54,5 cm zusammen mit C18979,1 - C18979,6 auf einem Karton",Papier; Silbergelatineabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Mainuferansicht von Sachsenhausen, mit Deutschordenskirche","vergleiche die aquarellierte Tuschezeichnung MV00072 von C. F. Mylius (möglicherweise lagen dieser Zeichnung die Fotografien C18979,1-4 zugrunde)_x000D_
_x000D_
32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Der Deutsche Orden hatte die ursprünglichen spätgotischen Gebäude im 18. Jahrhundert durch barocke Neubauten einschließlich Kirche ersetzt. Zur Zeit von Mylius' Aufnahme diente ein Teil davon als Kaserne. Die Häuser rechts gehören zu der dahinterliegenden Löhergasse, die Untergeschosse standen rückseitig direkt am Main._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 109, zu der Originalfotografie in Privatbesitz)",,,,,
"Carl Friedrich Mylius, Originalfotografie 1861; Rapp (Gustav & Co), Neuabzug","Stadtansicht, Stadttopographie","C18979,5",,,,1901,1910,1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin),"Frankfurt am Main-Sachsenhausen, Schaumainkai",Fotografie,"Bildmaß: 15,3 x 24,6 cm Höhe variiert vin 14,8 - 15,3 cm; Objektmaß: 72,9 x 54,5 cm zusammen mit C18979,1 - C18979,6 auf einem Karton",Papier; Silbergelatineabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Mainuferansicht von Sachsenhausen, der Schaumainkai","vergleiche die aquarellierte Tuschezeichnung MV00072 von C. F. Mylius  (möglicherweise lagen dieser Zeichnung die Fotografien C18979,1-4 zugrunde)_x000D_
_x000D_
32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Der Schaumainkai schloss sich westlich an das Schaumaintor an, beginnend mit einer kleinen dreireihigen Baumallee. Die Villa rechts mit quadratischem Grundriss, Walmdach und Mansarden stammt aus dem Jahr 1804 und hatte einen großen Garten mit seltenen Bäumen. Sie wurde 1851 vom Bankier Georg Friedrich Metzler erworben und später, nach Entstehung dieser Aufnahme, erweitert._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 112, zu der Originalfotografie in Privatbesitz)",,,,,
"Carl Friedrich Mylius, Originalfotografie 1861; Rapp (Gustav & Co), Neuabzug","Stadtansicht, Stadttopographie","C18979,6",,,,1901,1910,1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin),"Frankfurt am Main-Sachsenhausen, Schaumainkai",Fotografie,"Bildmaß: 14,9 x 23,5 cm; Objektmaß: 72,9 x 54,5 cm zusammen mit C18979,1 - C18979,6 auf einem Karton",Papier; Silbergelatineabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Mainuferansicht von Sachsenhausen, der weitere Verlauf des Schaumainkais bis zur Eisenbahnbrücke","vergleiche die aquarellierte Tuschezeichnung MV00072 von C. F. Mylius  (möglicherweise lagen dieser Zeichnung die Fotografien C18979,1-4 zugrunde)_x000D_
_x000D_
32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Der Schaumainkai war damals nur sehr aufgelockert mit Villen bebaut. Das flach abfallende Ufer hatte noch keine Kaimauer und war geprägt von Schiffbauplätzen, Bleichen und Waschhäusern. Der Reiter im Main lässt die geringe Tiefe des Mains vor der späteren Kanalisierung erkennen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 113, zu der Originalfotografie in Privatbesitz)",,,,,
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug; Rudolf Burnitz, Entwurf","Stadtansicht, Stadttopographie",C18979d,,,,1901,1910,1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin),"Frankfurt am Main-Bahnhofsviertel, Untermainkai",Fotografie,"Bildmaß: 16 x 24 cm; Objektmaß: 72,9 x 54,5 cm zusammen mit C18979a - C18979f auf einem Karton",Papier; Silbergelatineabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Mainuferansicht der Frankfurter Seite, links Villa Manskopf von Rudolf Burnitz, rechts Villa Gontard (de Bary)","32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Im Haus links wohnte der Weinhändler Jakob Philipp Manskopf, im Haus rechts Henry de Bary-Gontard, Teilhaber des Bankhauses Gontard & Co._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 85, zu der Originalfotografie in Privatbesitz)",,,,,
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug; Rudolf Burnitz, Entwurf; Johann Friedrich Christian Hess, Entwurf","Stadtansicht, Stadttopographie",C18979m,,,,1901,1910,1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin),"Frankfurt am Main-Altstadt, Untermainkai",Fotografie,"Bildmaß: 17,2 x 24,7 cm",kaschiert auf textiles Gewebe (Shirting); Papier; Silbergelatineabzug,"verso, unten mitte: ""12."" (Bleistift)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,"Mainuferansicht der Frankfurter Seite, mitte Villa Schlosser von Johann Friedrich Christian Hess, rechts Haupthaus des Hauses Burnitz von Rudolf Burnitz","32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)",,,,,
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug; Rudolf Burnitz, Entwurf","Stadtansicht, Stadttopographie",C18979n,,,,1901,1910,1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin),"Frankfurt am Main-Altstadt, Untermainkai",Fotografie,"Bildmaß: 17,9 x 24,3 cm",kaschiert auf textiles Gewebe (Shirting); Papier; Silbergelatineabzug,"verso, unten mitte: ""13"" (Bleistift)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,"Mainuferansicht der Frankfurter Seite, links Nebengebäude des Hauses Burnitz von Rudolf Burnitz, rechts der Zollhof","32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Der Zollhof wurde 1844 fertiggestellt und war ein einfach gehaltenes Spätwerk des Stadtbaumeisters Johann Friedrich Christian Hess._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 94, zu der Originalfotografie in Privatbesitz)",,,,,
"Carl Friedrich Mylius, Originalfotografie 1860; Rapp (Gustav & Co), Neuabzug","Stadtansicht, Stadttopographie",C18979r,,,,1901,1910,1908 (Neuabzug; nach Auskunft Herr Mayer-Wegelin),"Frankfurt am Main-Altstadt, Am Fahrtor",Fotografie,"Bildmaß: 19,7 x 25,8 cm; Objektmaß: 73 x 54,5 cm zusammen mit C18979o - C18979s auf einem Karton",Papier; Silbergelatineabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Mainuferansicht der Frankfurter Seite, Fahrtor, Rententurm, Bernus- und Burnitzbau, Saalhof, in Hintergrund Turm der Nikolaikirche","32 Photographien von Mylius, Panorama der Stadt mit Sachsenhausen in aneinander anschließenden Uferaufnahmen. Vor dem Dombrand, [unter Größe]: verschiedene Platten im Querformat, [unter Art der Erwerbung]: Copien von Gustav Rapp & Co. nach den im Besitz vom Architektenverein befindlichen Originalplatten_x000D_
(Eintrag im Inventarbuch C 08, S. 22)_x000D_
_x000D_
32 Photographien, Stadtansicht-Folge nach Aufnahmen von Mylius (Platten im Besitz des Architekten- und Ingenieurs Verein Frankfurt am Main), [unter Art der Erwerbung]: Bökelmann und Rapp & Co., hier_x000D_
(Eintrag im Zugangsbuch Band 7, 1911, Nr. 280, 06.11.1911)_x000D_
_x000D_
Das Fahrtor war als Durchgang zum Römerberg der Hauptanlegeplatz. Der Rententurm war Teil der Stadtbefestigung und diente lange zur Erhebung der Hafen- und Zollgebühren. Der Bernusbau ist das Anfang des 18. Jahrhunderts erbaute Palais der Kaufmannsfamilie Bernus, den Burnitzbau entwarf der Architekt Rudolf Burnitz 1843 im neuromanischen Stil des Historismus._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 98, zu der Originalfotografie in Privatbesitz)",,,,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C19952,,,,1850,1870,um 1860,"Frankfurt am Main-Innenstadt, Biebergasse",Architekturfotografie,"Bildmaß: 31 x 22,7 cm; Blattmaß: 33,4 x 24,8 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton",Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug,"verso, unten mitte, auf Original-Kaschierkarton: ""VII 342."" (Bleistift, Zugangsnummer)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,Biebergasse mit Blick auf das alte Schauspielhaus,"Geschäftswerbung am rechten Haus (zum Teil abgeschnitten):_x000D_
_x000D_
""TABLEAUX [...]""_x000D_
""KLINGE [...]""_x000D_
""Tülle, Spitzen [...]""_x000D_
""Taschen, Bandagen & Säcklerwaaren v. C. F. Sa[...]""_x000D_
""Fleisch-Damm [?]""","Bibergasse, von Zeil aus, also Richtung Westen fotografiert. Die Markiseauf dem Bild ist das Alte Schauspielhaus am Theaterplatz (heute Goetheplatz)","50.11406,8.67830",,,Susanna Kexel
Carl Friedrich Mylius,"Architektur, Stadttopographie",C19953,,,,1857,1867,vor 1867,Frankfurt am Main-Altstadt,Architekturfotografie,"Bildmaß: 21,9 x 17 cm; Blattmaß: 24,1 x 19,3 cm; Objektmaß: 53 x 36,6 cm Passepartout-Karton",Papier; Passepartout-Karton; auf Karton aufgezogen; Albuminabzug,"recto, unten, unter Fotografie auf Original-Kaschierkarton: ""Dom zu Frkfrt M., vor dem Brande 1867"" (Bleistift)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,"Der Dom St. Bartholomäus vor dem Brand von 1867, von Westen","Mylius hat aus gleicher Perspektive vom Turm der Katharinenkirche aus mehrere Aufnahmen hinereinander gemacht, die sich in dem weitergewanderten Schatten unterscheiden._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 44, zu dem identischen Motiv in Privatbesitz)",,,,,
Carl Friedrich Mylius,Stadtansicht,C19957,,,,1850,1870,um 1860,Frankfurt am Main-Innenstadt,Landschaftsfotografie,"Bildmaß: 16,6 x 22,1 cm; Blattmaß: 18,6 x 23,9 cm; Objektmaß: 36,5 x 53 cm",Papier; auf Karton aufgezogen; Albuminabzug,"recto, unten rechts, auf Original-Kaschierkarton: ""a[nno] 1860"" (Bleistift)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Blick von der Mainlust (das heutige Nizza) über die Gleise der Hafenbahn zum Dom,"Im Vordergrund die Mainlust (das heutige Nizza) mit der Verbindungsbahn zwischen den Bahnhöfen an der Gallusanlage und dem Hanauer Bahnhof im Ostend. Im Hintergrund der Dom und die Alte Brücke, die Untermainbrücke ist noch nicht gebaut._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 28)",,,,,
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung",Stadttopographie,C19968,,,,1870,1890,um 1880,"Frankfurt am Main-Altstadt, Bleidenstraße 33-35",Fotografie,"Bildmaß: 24,3 x 16,1 cm; Blattmaß: 32,5 x 23,2 cm; Objektmaß: 53 x 36,5 cm",Papier; auf Karton aufgezogen; Albuminabzug,"recto, unten rechts, auf Original-Unterkarton: ""Bleidenstrasse"" (Bleistift)","Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Blick von der Katharinenpforte in die Bleidenstraße,"Die beiden Häuser in der Altstadt beherbergten damals eine kleine Hutfabrik und eine Schirmfabrikation._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 141)_x000D_
_x000D_
Die Geschäfte:_x000D_
Eckhaus links (mit Hausnummer 17):_x000D_
""Ruttmann Schreib[...]_x000D_
Cigarren_x000D_
Tabak_x000D_
Thee_x000D_
Rum_x000D_
Arrac_x000D_
[...]ratalon [?]_x000D_
Stopfen_x000D_
etc._x000D_
17""_x000D_
_x000D_
Haus mitte:_x000D_
""J. F. Hirsch.""_x000D_
_x000D_
""Magazin_x000D_
du_x000D_
[...]_x000D_
C. Otto._x000D_
Schuh_x000D_
&_x000D_
Stiefel-Lager""_x000D_
_x000D_
Haus rechts (kaum lesbar):_x000D_
""Schirm-Fabrik [...]""",,,,,
Carl Friedrich Mylius,Fotografie,C19972,,,,1881,1890,Mai 1889,"Frankfurt am Main-Bahnhofsviertel, Hauptbahnhof","Dokumentarfotografie, Stadttopographie","Bildmaß: 15,8 x 21,8 cm; Blattmaß: 36,5 x 53 cm Passepartout-Karton",Papier; kaschiert auf textiles Gewebe (shirting); Passepartout-Karton; Fotografie (Albuminabzug); Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,Graphische Sammlung,,Parade zum Empfang König Humberts I. von Italien im Mai 1889 vor dem Hauptbahnhof,"Offenbar bewusst hat Mylius das Ereignis im Mai 1889 aus größerer Entfernung aufgenommen, um einen Gesamtüberblick zu geben, aber sicherlich auch um Unschärfen durch die Bewegung der Soldaten und Zuschauer abzuschwächen. Im Hintergrund der im August 1888 neu eröffnete Hauptbahnhof._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 278)_x000D_
_x000D_
Die gleiche Ansicht 2016: siehe Multimedia",,,,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C19974,ja,,,1871,1880,1873,"Frankfurt am Main-Altstadt, Weckmarkt (Stadtwaage, Leinwandhaus)","Archäologische Fotografie, Architekturfotografie","Bildmaß: 16,1 x 20,7 cm; Objektmaß: 53 x 36,4 cm zusammen mit C25518 auf einem Karton",Papier; kaschiert auf textiles Gewebe (shirting); Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Stadtwaage und Leinwandhaus am Weckmarkt,"Im Leinwandhaus wurde ursprünglich der Leinwandhandel betrieben; zur Zeit von Mylius wurde es als Schwurgericht, später als Teil des städtischen Museum genutzt. Die alte Stadtwaage linke daneben wurde 1874 niedergelegt, der Neubau beherbergte das Stadtarchiv._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 51)_x000D_
_x000D_
Sandsteingebäude mit Schieferdächern, das rechte Gebäude hat Ecktürmchen außerhalb des Daches, an der Längsseite des Hauses gibt es drei Tore, über den Toren befinden sich 7 Fenster. Die Mauern sind durch Steinbögen verziert, das linke Gebäude steht mit dem Giebel zur Straße, ist dreigeschossig, hat  zwei Tore, im Vordergrund Straße mit Kopfsteinpflaster","Heute Caricatura Museum, https://de.wikipedia.org/wiki/Leinwandhaus_(Frankfurt_am_Main)#/media/File:Leinwandhaus_Frankfurt_2009.jpg","50.11011,8.68521",,,
Carl Friedrich Mylius,Stadttopographie,C19977,,,,1855,1875,um 1865,"Frankfurt am Main-Innenstadt, Schillerplatz, Zeil",Fotografie,"Bildmaß: 15,2 x 24 cm Höhe links um 0,2 cm mehr; Blattmaß: 17,6 x 25,1 cm; Objektmaß: 36,4 x 53 cm",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Die Zeil vom Schillerplatz aus,"Mylius dokumentiert hier die Umgestaltung des Paradeplatzes hinter der Hauptwache vor der Errichtung des Schillerdenkmals. Die ersten jungen Bäume sind schon eingepflanzt, eine der Baubuden steht noch. Die Droschken im Vordergrund und die verschwommenen Bewegungen auf der Zeil vermitteln einen Eindruck vom Leben auf dieser Hotel- und Geschäftsstraße._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 62)_x000D_
_x000D_
Die Geschäfte:_x000D_
links:_x000D_
""LOUIS DEFIZE.""_x000D_
_x000D_
""Charlotte Reger.""_x000D_
_x000D_
""A. Schönhard_x000D_
Ch[?...]macher [oder TH? Thürmacher?]""_x000D_
_x000D_
""[PE]LZ & RAUCHWAAREN=LAGER VON J. H. ROHWEDER."" (besser lesbar auf C19978)_x000D_
_x000D_
""Modes G. Conradi Modes_x000D_
72 [Hausnummer] 72_x000D_
Nachfolger von C. Bilger Moreau.""_x000D_
_x000D_
""Antiquitées et Curiositées_x000D_
C. P. KRAYER.""_x000D_
_x000D_
""Hofmann's_x000D_
Fabrik und Lager in_x000D_
[Lein]wand Gebild Damast"" (besser lesbar auf C19978, hier ist das Geschäft auf der rechten Seite)_x000D_
_x000D_
rechts:_x000D_
""PFAFF""_x000D_
_x000D_
""Papier [?...]""_x000D_
_x000D_
(vergleiche auch C19978)_x000D_
_x000D_
Die gleiche Ansicht 2016: siehe Multimedia",neue Gestaltung,"50.11399, 8.6792, circa",,,
Carl Friedrich Mylius,Stadttopographie,C22558,,,,1860,1880,um 1870,"Frankfurt am Main-Westend, Bockenheimer Anlage, Reuterweg (Haus Nestle)",Fotografie,"Bildmaß: 25 x 18,8 cm; Objektmaß: 53 x 36,5 cm",Papier; auf Karton aufgezogen; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,"Haus Nestle, Bockenheimer Anlage nächst dem Reuterweg","Auch hier wird die Rückseite des Hauses mit Mitgliedern der Unternehmer-Familie abgebildet._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 220)",,,,,
Carl Friedrich Mylius,"Architektur, Stadttopographie",C22563,,,,1860,1880,um 1870,"Frankfurt am Main-Westend, Mainzer Landstraße 74",Fotografie,"Bildmaß: 22,6 x 29,7 cm; Objektmaß: 36,5 x 53,1 cm",auf Karton aufgezogen; Papier; Albuminabzug,,"Historisches Museum Frankfurt, Frankfurt am Main",Fotografie,,,Das Haus Mainzer Landstraße 74,"Abgebildet ist die Straßenseite. Die Straße, über die der Fernverkehr in Richtung Rhein führte, war schon im 18. Jahrhundert zur Chaussee ausgebaut worden._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 222)",,,,,
